"Step","melting_self_runseed=4 - training/episode/length","melting_self_runseed=4 - training/episode/length__MIN","melting_self_runseed=4 - training/episode/length__MAX","melting_self_runseed=3 - training/episode/length","melting_self_runseed=3 - training/episode/length__MIN","melting_self_runseed=3 - training/episode/length__MAX","melting_self_runseed=2 - training/episode/length","melting_self_runseed=2 - training/episode/length__MIN","melting_self_runseed=2 - training/episode/length__MAX","melting_self_runseed=1 - training/episode/length","melting_self_runseed=1 - training/episode/length__MIN","melting_self_runseed=1 - training/episode/length__MAX","melting_self_runseed=0 - training/episode/length","melting_self_runseed=0 - training/episode/length__MIN","melting_self_runseed=0 - training/episode/length__MAX"
"1255744","555","555","555","","","","","","","","","","","",""
"1257536","","","","1977","1977","1977","","","","","","","5000","5000","5000"
"1257856","","","","1754","1754","1754","","","","","","","","",""
"1260864","","","","","","","","","","","","","5000","5000","5000"
"1262464","","","","4771","4771","4771","","","","","","","","",""
"1262976","","","","2016","2016","2016","","","","","","","","",""
"1264128","","","","","","","","","","1719","1719","1719","","",""
"1265600","","","","","","","","","","","","","5000","5000","5000"
"1266432","","","","","","","","","","","","","5000","5000","5000"
"1268480","","","","","","","","","","","","","4881","4881","4881"
"1271680","","","","","","","5000","5000","5000","","","","","",""
"1274496","","","","658","658","658","","","","","","","","",""
"1274816","","","","","","","","","","","","","2232","2232","2232"
"1279936","","","","","","","5000","5000","5000","5000","5000","5000","","",""
"1280128","4689","4689","4689","","","","","","","","","","","",""
"1280384","","","","","","","5000","5000","5000","","","","","",""
"1280768","3449","3449","3449","","","","","","","","","","","",""
"1285568","","","","","","","","","","4877","4877","4877","","",""
"1286592","","","","","","","","","","","","","5000","5000","5000"
"1291264","","","","","","","","","","2747","2747","2747","","",""
"1293248","","","","2559","2559","2559","","","","","","","","",""
"1294784","","","","","","","4532","4532","4532","","","","","",""
"1300352","","","","2212","2212","2212","","","","","","","","",""
"1301120","","","","","","","","","","2143","2143","2143","","",""
"1305664","815","815","815","","","","","","","","","","","",""
"1309632","578","578","578","","","","","","","","","","","",""
"1309952","","","","","","","1749","1749","1749","","","","","",""
"1310400","","","","","","","","","","","","","5000","5000","5000"
"1311488","","","","","","","3272","3272","3272","","","","","",""
"1312960","","","","","","","","","","","","","4040","4040","4040"
"1314816","","","","","","","","","","2413","2413","2413","","",""
"1316544","","","","","","","5000","5000","5000","","","","","",""
"1319168","","","","179","179","179","","","","","","","","",""
"1326464","","","","","","","","","","5000","5000","5000","","",""
"1327168","","","","","","","5000","5000","5000","","","","","",""
"1336320","","","","293","293","293","","","","","","","","",""
"1337024","","","","","","","660","660","660","","","","","",""
"1338752","","","","","","","","","","4751","4751","4751","","",""
"1343424","1572","1572","1572","","","","","","","","","","","",""
"1344640","","","","","","","","","","5000","5000","5000","","",""
"1345472","","","","","","","5000","5000","5000","","","","","",""
"1347200","","","","","","","","","","5000","5000","5000","","",""
"1347840","","","","5000","5000","5000","","","","","","","","",""
"1350080","","","","1432","1432","1432","","","","","","","","",""
"1353344","","","","","","","","","","","","","4445","4445","4445"
"1355136","","","","","","","2379","2379","2379","","","","","",""
"1359040","","","","","","","","","","","","","3646","3646","3646"
"1359168","","","","3266","3266","3266","","","","","","","","",""
"1359296","2667","2667","2667","","","","","","","","","","","",""
"1361536","","","","5000","5000","5000","","","","","","","","",""
"1364480","885","885","885","","","","","","","","","","","",""
"1366784","1151","1151","1151","","","","","","","","","","","",""
"1369728","","","","1429","1429","1429","","","","","","","","",""
"1371008","","","","","","","5000","5000","5000","","","","","",""
"1371904","","","","5000","5000","5000","","","","","","","","",""
"1373440","3557","3557","3557","","","","","","","","","","","",""
"1376512","","","","","","","","","","","","","4861","4861","4861"
"1377792","","","","5000","5000","5000","","","","","","","","",""
